,COMPANY,BUSINESS_IN_FORCE_NEW_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_NEW_SUM_INSURED,BUSINESS_IN_FORCE_NEW_PREMIUMS,BUSINESS_IN_FORCE_TOTAL_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_TOTAL_SUM_INSURED,BUSINESS_IN_FORCE_TOTAL_PREMIUMS,YEARS,GROSS_DIRECT_PREMIUM,INWARD_REINSURANCE,OUTWARD_REINSURANCE,NET_PREMIUM_WRITTEN,UPR_B/F,UNEXPIRED_RISK_RESERVE_(B/F),UPR_C/F,UNEXPIRED_RISK_RESERVE_(B/F).1,NET_EARNED_PREMIUM_INCOME,INCURRED_CLAIMS,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,UNDERWRITING_PROFIT/(LOSS),INVESTMENT_INCOME,PROFIT_TRANSFERRED_TO_P&L,NET_PAID_CLAIMS_AVIATION,NET_PAID_CLAIMS_ENGINEERING,NET_PAID_CLAIMS_FIRE_DOMESTIC,NET_PAID_CLAIMS_FIRE_INDUSTRIAL,NET_PAID_CLAIMS_LIABILITY,NET_PAID_CLAIMS_MARINE,NET_PAID_CLAIMS_MOTOR_PRIVATE,NET_PAID_CLAIMS_MOTOR_COMMERCIAL,NET_PAID_CLAIMS_MOTOR_COMMERCIAL_PSV,NET_PAID_CLAIMS_PERSONAL_ACCIDENT,NET_PAID_CLAIMS_THEFT,NET_PAID_CLAIMS_WORKMENS'_COMPENSATION,NET_PAID_CLAIMS_MEDICAL,NET_PAID_CLAIMS_MISCELLANEOUS,NET_PAID_CLAIMS_TOTAL,SHARE_CAPITAL,SHARE_PREMIUM,REVALUATION_RESERVES,STATUTORY_RESERVES,RETAINED_EARNINGS,OTHER_RESERVES,TOTAL_EQUITY,UNDERWRITING_PROVISIONS,ACTUARIAL_CONTRACT_LIABILITIES,LONGTERM_LIABILITIES,CURRENT_LIABILITIES,TOTAL_EQUITY_AND_LIABILITIES,LAND_AND_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,GOVERNMENT_SECURITIES,OTHER_SECURITIES,INVESTMENT_IN_RELATED_COMPANIES,CORPORATE_BONDS,COMMERCIAL_PAPERS,DEBENTURES,ORDINARY_SHARES_QUOTED,ORDINARY_SHARES_UNQUOTED,PREFERENCE_SHARES_QUOTED,PREFERENCE_SHARES_UNQUOTED,LOANS_SECURED_&_UNSECURED,MORTGAGES,TERM_DEPOSITS,CASH_AND_CASH_BALANCES,OUTSTANDING_PREMIUMS,OTHER_RECEIVABLES,OTHER_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,NET_EARNED_PREMIUM_AVIATION,NET_EARNED_PREMIUM_ENGINEERING,NET_EARNED_PREMIUM_FIRE_DOMESTIC,NET_EARNED_PREMIUM_FIRE_INDUSTRIAL,NET_EARNED_PREMIUM_LIABILITY,NET_EARNED_PREMIUM_MARINE,NET_EARNED_PREMIUM_MOTOR_PRIVATE,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL_PSV,NET_EARNED_PREMIUM_PERSONAL_ACCIDENT,NET_EARNED_PREMIUM_THEFT,NET_EARNED_PREMIUM_WORKMENS'_COMPENSATION,NET_EARNED_PREMIUM_MEDICAL,NET_EARNED_PREMIUM_MISCELLANEOUS,NET_EARNED_PREMIUM_TOTAL,INCURRED_CLAIMS_AVIATION,INCURRED_CLAIMS_ENGINEERING,INCURRED_CLAIMS_FIRE_DOMESTIC,INCURRED_CLAIMS_FIRE_INDUSTRIAL,INCURRED_CLAIMS_LIABILITY,INCURRED_CLAIMS_MARINE,INCURRED_CLAIMS_MOTOR_PRIVATE,INCURRED_CLAIMS_MOTOR_COMMERCIAL,INCURRED_CLAIMS_MOTOR_COMMERCIAL_PSV,INCURRED_CLAIMS_PERSONAL_ACCIDENT,INCURRED_CLAIMS_THEFT,INCURRED_CLAIMS_WORKMENS'_COMPENSATION,INCURRED_CLAIMS_MEDICAL,INCURRED_CLAIMS_MISCELLANEOUS,INCURRED_CLAIMS_TOTAL,BUSINESS_IN_FORCE_NEW_SUMS_INSURED,BUSINESS_IN_FORCE_TOTAL_SUMS_INSURED,UNNAMED:_1
0,AAR INSURANCE KENYA LTD,,,,,,,2013,2619915,0,536163,2083752,386044,0,1074565,0,1395230,841299,159804,425449,-31321,93420,62099,,,,,,,,,,,,,,,,300000,1000,0,0.0,44501,0,345501,909657,0.0,0,543103,1798261,0,0,18320,277076,0,0,0,0,0.0,0,0,0.0,0.0,0,0,894526,61964,319234,211790,0,,1798261,0,0,164,0,57,0,0,0,0,6482,77,1170,1385600,1680,1395230,0,0,721,0,157,0,0,0,0,5454,291,1609,832362,705,841299,,,
1,AFRICAN MERCHANT ASSURANCE COMPANY LTD,,,,,,,2013,2190976,5666,495396,1701245,388995,0,479683,0,1610557,848537,94064,744853,-76897,221994,145097,,,,,,,,,,,,,,,,535000,0,0,0.0,318291,6443,859734,1202256,0.0,0,183866,2245856,0,442500,102033,217000,0,0,34775,0,0.0,11656,0,0.0,0.0,9011,0,726356,113884,484594,28168,74504,,2245856,0,7417,4780,112429,5978,3560,489906,450804,380538,47425,4667,65523,0,37530,1610557,0,3945,843,6273,2259,1861,313823,204664,274480,21931,5041,4610,0,8808,848538,,,
2,AIG INSURANCE COMPANY LTD,,,,,,,2013,3452088,52621,1456482,2048226,675181,0,786463,0,1936944,941274,89054,773307,133309,0,133309,,,,,,,,,,,,,,,,450000,0,-46468,0.0,954171,0,1357702,1361199,0.0,0,736317,3455219,0,175000,91646,1952161,0,0,0,0,0.0,15107,0,0.0,0.0,69773,0,418539,190380,417024,0,122819,,3455219,0,1027,67141,63123,158722,8202,443008,606602,0,424134,10132,153838,0,1014,1936943,70,1060,21060,29971,30279,5953,294369,406678,0,120256,15770,15935,0,-126,941275,,,
3,APA INSURANCE LTD,,,,,,,2013,6553965,0,1430502,5123463,2372897,0,2438698,0,5057662,3493908,538999,970651,54104,0,54104,,,,,,,,,,,,,,,,750000,0,54281,0.0,2283020,719610,3806911,6166683,0.0,6551,513057,10493201,120000,730000,63614,3399995,20144,392940,22969,134161,0.0,2327968,90109,0.0,0.0,180111,6723,1271632,147247,1214066,118738,0,,10493201,1549,67718,38725,164698,63725,197634,960893,1421922,0,97374,173552,489143,1127726,253002,5057661,-783,103008,38087,92478,46372,91394,884397,761995,0,162861,102452,348548,831081,32015,3493905,,,
4,BRITAM GENERAL INSURANCE,,,,,,,2013,3826506,0,667661,3158845,1111786,0,1368239,13459,2888933,1533873,289112,772439,293509,343738,637247,,,,,,,,,,,,,,,,700000,0,0,0.0,825170,757426,2282596,2125948,0.0,0,162564,4571108,5202,0,87464,1720292,0,175752,136074,0,0.0,622553,7241,0.0,0.0,0,0,349760,134456,564625,494240,102924,,4571108,0,24112,35717,39126,8217,49128,420397,571378,161158,241353,126329,121610,906352,184056,2888933,0,10637,13166,18211,115,9543,316455,242005,68257,63531,53658,43343,535451,159501,1533873,,,
5,CANNON ASSURANCE LTD,,,,,,,2013,995945,51416,311328,736033,321389,0,318147,0,739275,486815,63431,315399,-126370,318339,191969,,,,,,,,,,,,,,,,300000,0,0,0.0,857430,227222,1384652,1222626,0.0,0,211532,2818810,80000,917980,17989,384847,0,30000,33673,0,0.0,421015,313371,0.0,0.0,7617,38464,99943,8523,208792,148187,25684,,2818810,0,12769,10433,33425,-7471,26768,205404,252899,0,41825,34413,112488,0,16324,739277,0,6263,6655,6852,-8240,25011,144658,148234,0,8934,30661,53517,0,64268,486813,,,
6,CIC GENERAL INSURANCE LTD,,,,,,,2013,8023273,34909,743511,7314671,2706298,0,3699946,0,6321023,4113060,436151,1363267,408545,570513,979058,,,,,,,,,,,,,,,,900000,0,-1838,0.0,1877149,0,2775311,6826898,0.0,0,826313,10428522,158326,1260000,302460,1209845,0,0,41639,360711,0.0,223731,14367,0.0,0.0,252400,0,1821599,322914,3184964,868670,14350,,10428522,0,47561,73574,162834,71281,55232,1385127,2015262,0,163065,344618,175010,1772527,54932,6321023,0,34012,12311,47798,88539,10759,1123928,881903,0,85975,176764,55677,1585921,9473,4113060,,,
7,COPORATE INSURANCE COMPANY,,,,,,,2013,291360,43993,109184,226169,120747,0,120291,0,226625,77039,18517,121435,9633,109123,118756,,,,,,,,,,,,,,,,300000,0,0,0.0,385905,0,685905,314481,0.0,0,96210,1096596,0,565000,5459,106900,0,0,0,0,0.0,1913,736,0.0,0.0,2000,0,183138,13741,182308,0,32239,,1096596,0,3248,2195,6368,2420,1532,78690,46202,12419,10856,35359,20873,0,6463,226625,0,-205,2709,5811,-682,1316,48333,36986,-25082,735,2351,4430,0,336,77038,,,
8,DIRECTLINE ASSURANCE,,,,,,,2013,2224887,0,39470,2185417,494400,0,551559,0,2128258,1336524,210135,740385,-158786,304724,145938,,,,,,,,,,,,,,,,300000,0,0,0.0,447453,-75435,672018,3148694,0.0,0,78929,3899641,0,423000,54874,1080541,0,0,20998,191456,0.0,163833,0,0.0,0.0,152195,0,1022407,486962,51208,78186,88282,,3899641,0,0,0,0,0,0,12218,4909,2111130,0,0,0,0,0,2128257,0,0,0,0,0,0,0,0,1336524,0,0,0,0,0,1336524,,,
9,FIDELITY SHIELD INSURANCE COMPANY LTD,,,,,,,2013,1226045,14128,325347,914826,272252,0,353545,0,833534,484742,60541,241667,46584,0,46584,,,,,,,,,,,,,,,,300452,0,66388,0.0,537207,30045,934093,952600,0.0,17121,199644,2103458,228556,738744,20716,176433,0,0,0,0,0.0,100068,0,0.0,0.0,12709,33291,233468,29850,460028,10541,24345,34709,2103458,0,6409,13704,31138,7006,15141,235017,353138,12319,7651,17158,133180,0,1673,833534,0,854,5912,20628,-3952,10230,146403,212040,3651,6388,9771,72673,0,144,484742,,,
10,FIRST ASSURANCE COMPANY LTD,,,,,,,2013,3161040,81714,1231180,2011575,864637,0,816979,0,2059232,1515015,30732,353500,159984,0,159984,,,,,,,,,,,,,,,,450000,0,113269,0.0,827541,0,1390810,2361369,0.0,16664,658323,4427166,161500,698204,27809,419854,22180,52929,62769,0,0.0,63130,0,0.0,0.0,20415,0,1815927,43877,674275,6481,150114,207700,4427166,0,29435,29797,70658,39724,33600,479006,653338,0,30237,48195,169388,455213,20641,2059232,0,-444,11643,42042,43009,871,385835,438890,0,10178,41421,123223,411681,6665,1515014,,,
11,GA LIFE ASSURANCE LIMITED,,,,,,,2013,3038729,49963,1446597,1642095,655376,0,728519,0,1568951,1075776,-16702,401704,108173,475621,583794,,,,,,,,,,,,,,,,450000,0,328566,0.0,677157,169882,1625605,3159937,0.0,16634,828546,5630722,676600,1002986,37446,901147,0,308827,259670,0,0.0,228660,260698,0.0,0.0,284774,0,724967,79948,623927,4076,49237,187760,5630722,51,40146,36550,89202,30064,105373,199508,235884,58947,32507,191210,296061,125414,128033,1568950,11,26986,23409,20226,14787,34300,174731,300422,0,10696,152474,229142,88915,-322,1075777,,,
12,GATEWAY INSURANCE,,,,,,,2013,540968,0,77897,463072,96035,0,142965,0,416141,138864,35225,265725,-23672,195993,172321,,,,,,,,,,,,,,,,313225,135,228830,0.0,325362,0,867552,999430,0.0,0,100677,1967660,205000,975400,26447,169950,0,0,0,0,0.0,1078,57838,0.0,0.0,7654,0,268753,16068,159944,5664,66613,7251,1967660,0,1127,2892,3755,3343,2548,160999,74859,126674,2404,3419,8235,20157,5729,416141,0,622,28440,3329,111,-149,104363,4446,-22736,-4009,-3119,-103,18244,9423,138862,,,
13,GEMINIA INSURANCE COMPANY LTD,,,,,,,2013,1224689,26329,325535,925484,316722,0,414501,0,827704,378738,61443,205784,181739,150559,332298,,,,,,,,,,,,,,,,300000,0,326992,0.0,409368,132108,1168468,1273850,0.0,885,216750,2659952,20039,721000,32934,417500,35000,0,8500,0,0.0,170827,4928,0.0,0.0,5395,3259,781408,86124,132307,14773,225959,0,2659952,0,14108,22721,62399,9586,61613,166085,262373,0,14277,46931,157699,0,9913,827705,0,13597,9106,-4540,2021,24205,80484,227712,0,4533,5938,24058,0,-8376,378738,,,
14,HERITAGE INSURANCE COMPANY KENYA LTD,,,,,,,2013,3549062,0,1586182,1962880,789976,0,816445,0,1936410,710430,-2504,918076,310409,0,310409,,,,,,,,,,,,,,,,500000,0,0,0.0,1285450,0,1785450,1752521,0.0,0,257673,3795645,0,147000,91609,1396845,0,88369,147085,0,0.0,128640,132428,0.0,0.0,47927,331963,620373,86874,316190,256620,0,3722,3795645,0,26418,134813,117942,43496,60681,477511,320882,33031,259767,80818,208563,104221,68268,1936411,-88,6891,30745,-1647,9578,5600,247530,133834,11227,59112,15784,46881,126857,18127,710431,,,
15,ICEA LION GENERAL INSURANCE COMPANY LTD,,,,,,,2013,4516664,46851,1779678,2783837,957674,0,1218174,0,2523336,1221400,192003,737081,372853,0,372853,,,,,,,,,,,,,,,,600000,0,341840,0.0,2050556,0,2992396,3724987,0.0,426449,641868,7785700,0,2167500,79903,2537322,0,50147,291576,0,0.0,459199,0,0.0,0.0,25337,0,441276,100504,974666,104949,296759,256563,7785700,5178,30132,70900,144482,22459,115066,758387,608409,0,134759,148846,290907,188525,5287,2523337,14944,6736,14228,127351,10334,59251,461076,242892,0,23901,100486,73915,94952,-8667,1221399,,,
16,INTRA-AFRICA INSURANCE COMPANY LTD,,,,,,,2013,805214,9096,197879,616432,243071,0,286368,0,573135,385184,6660,199903,-18612,19853,1241,,,,,,,,,,,,,,,,300000,0,263772,0.0,137625,7500,708897,670677,0.0,0,36997,1416571,111175,251525,10446,221200,0,0,0,0,0.0,61636,0,0.0,0.0,9991,12733,185307,27175,406891,92224,22294,3975,1416571,0,16822,13969,32492,4659,38135,151606,151792,0,16112,28385,100947,0,18217,573136,0,10594,10071,30477,10430,55423,91205,107830,0,29495,20375,22972,0,-3688,385184,,,
17,INVESCO ASSURANCE COMPANY LTD,,,,,,,2013,1787720,0,40986,1746734,202064,0,371525,0,1577273,590190,161613,900312,-74843,0,-74843,,,,,,,,,,,,,,,,1680000,0,547,0.0,-1337199,0,343348,2095233,0.0,0,100147,2538728,80267,1074561,75962,190000,0,0,0,0,0.0,2620,0,0.0,0.0,0,0,290930,186403,0,152716,0,485269,2538728,0,235,469,-2134,194,-1183,129209,130283,1317870,1066,234,663,0,367,1577273,0,-624,3984,-947,3,942,116742,-24427,506319,-10280,-973,-519,0,-29,590191,,,
18,JUBILEE INSURANCE COMPANY,,,,,,,2013,7759282,904203,2408065,6255420,2328656,0,2582435,0,6001642,4078576,448357,902577,572131,783709,1355841,,,,,,,,,,,,,,,,1000000,0,397489,0.0,3374754,0,4772243,8358205,0.0,0,1888596,15019043,0,0,47410,2436189,0,1151147,270904,0,0.0,2078752,559442,573.0,0.0,0,0,904929,105057,3203988,612352,3430154,218148,15019043,2464,71050,60157,250136,69956,134139,1482581,461775,-6456,231754,99903,139520,2892052,112613,6001644,208,2982,11789,93536,2857,53510,844409,565046,-716,205340,7355,30603,2079892,181764,4078575,,,
19,KENINDIA ASSURANCE COMPANY LTD,,,,,,,2013,2736867,38714,1050387,1725194,854634,0,703121,0,1876707,1040481,164790,497713,173723,409092,582815,,,,,,,,,,,,,,,,400000,1198,16413,0.0,1172502,208260,1798373,1962732,0.0,0,1824557,5585662,524445,1221000,48212,819921,0,71005,0,0,0.0,66474,119149,0.0,0.0,1392,0,606927,147930,1466724,0,490320,2165,5585662,0,5872,25633,68091,11035,267002,330032,333759,140737,22422,129543,456905,77654,8023,1876708,0,10279,9687,77946,-45881,19860,195644,289254,0,16496,65868,303759,97130,438,1040480,,,
20,KENYA ORIENT INSURANCE COMPANY,,,,,,,2013,1435050,8732,155884,1287898,396843,0,436872,0,1247869,587261,100949,477310,82348,42411,124759,,,,,,,,,,,,,,,,309400,0,125159,0.0,176184,60000,670743,662590,0.0,484,163315,1497132,85176,413302,53676,162667,0,26685,5245,0,0.0,3382,204790,0.0,0.0,0,0,75646,3551,298537,54238,42793,67444,1497132,0,4939,10209,18834,10804,12888,569183,450168,82887,5773,14880,43394,0,23909,1247868,0,292,1665,5247,9278,1377,446465,103769,47586,1323,2158,12055,0,-43954,587261,,,
21,MADISON INSURANCE COMPANY LTD,,,,,,,2013,1007084,89327,297142,799269,224991,0,257314,0,766947,435094,63781,279500,-11428,82806,71378,,,,,,,,,,,,,,,,300000,0,0,0.0,381408,0,681408,507190,0.0,0,77913,1266511,0,175000,26287,82762,0,0,0,0,0.0,0,219252,0.0,0.0,0,0,111159,10032,537964,61677,3384,38993,1266511,0,4961,33736,5545,61486,3454,149117,310183,0,16912,9712,19204,118423,34212,766945,0,3434,737,-481,12411,68,128591,130903,0,-10033,5864,9400,147173,7027,435094,,,
22,MAYFAIR INSURANCE COMPANY LTD,,,,,,,2013,1455643,47643,673038,830248,319544,0,385324,0,764468,479718,39199,194745,50806,0,50806,,,,,,,,,,,,,,,,350000,0,284704,0.0,275513,0,910217,1309216,0.0,0,328123,2547556,170067,370816,71164,289292,0,194271,26770,0,0.0,199930,193319,0.0,0.0,4057,0,695250,20744,118972,0,189934,2970,2547556,-2783,25337,11365,15069,7245,44358,113541,292253,4262,5966,25356,202545,0,19955,764469,0,3327,10189,11996,3706,23039,143462,137293,0,3769,18971,120118,0,3847,479717,,,
23,MERCANTILE INSURANCE COMPANY,,,,,,,2013,846363,0,535931,310433,75436,0,103351,0,282518,172878,-1399,158094,-47055,56036,8982,,,,,,,,,,,,,,,,300000,0,94,0.0,139368,7500,446962,269807,0.0,0,19594,736363,0,0,19927,230637,0,0,102476,0,0.0,34609,0,0.0,0.0,0,0,219885,26181,57345,45302,0,0,736363,0,4932,8152,9282,1238,801,57501,53060,1595,2230,7429,16770,14888,104639,282517,0,2343,889,4110,-187,892,39541,25621,608,-31,10820,583,9969,77721,172879,,,
24,OCCIDENTAL INSURANCE COMPANY LTD,,,,,,,2013,1605137,19820,563190,1061767,401261,0,460287,0,1002740,647795,102121,187978,64845,138590,203435,,,,,,,,,,,,,,,,346500,0,17276,51975.0,323724,,739475,1065009,0.0,0,259107,2063591,0,400000,31449,642257,0,136326,22288,0,0.0,27006,100825,0.0,0.0,0,0,147668,30914,462241,40997,21620,0,2063591,0,11939,23473,55980,1448,66535,204622,316714,0,15895,62504,213910,0,29720,1002740,0,7608,21476,29457,-143,47271,149024,196337,1106,8190,51327,131245,0,4897,647795,,,
25,PACIS INSURANCE COMPANY LTD,,,,,,,2013,813692,0,152591,661101,241180,0,271966,0,630315,310411,63294,246429,10180,44936,55116,,,,,,,,,,,,,,,,300000,5712,0,0.0,373708,-25,679395,667396,0.0,179935,98795,1625521,75500,613059,44868,151570,0,0,0,0,0.0,650,0,0.0,0.0,0,0,35881,7978,403518,0,235613,56886,1625521,0,3322,10335,17642,8418,1492,265226,217419,0,21165,20177,47218,16770,1130,630314,0,2382,5035,1073,5885,517,202540,59966,0,3909,16642,13777,-1656,341,310411,,,
26,PHOENIX OF EAST AFRICA ASSURANCE COMPANY,,,,,,,2013,414802,47982,225075,237709,89597,0,109300,0,218006,103200,-3256,175171,-57109,0,-57109,,,,,,,,,,,,,,,,300000,0,852968,0.0,647918,0,1800886,196293,0.0,0,80257,2077436,0,0,3336,141000,0,163307,0,0,0.0,1298210,0,0.0,0.0,0,0,66159,12622,149288,1837,219811,21866,2077436,3385,11909,5548,19233,4996,10568,73877,38711,0,7148,13529,17680,0,11422,218006,782,338,975,1569,403,4059,51732,17537,0,8433,8444,8627,0,301,103200,,,
27,REAL INSURANCE COMPANY,,,,,,,2013,2489707,47722,812746,1724683,581258,0,767065,0,1538877,984205,75725,429559,49387,0,49387,,,,,,,,,,,,,,,,300000,0,14829,0.0,344938,55000,714767,1283804,0.0,2136,578749,2579456,0,0,42176,183121,0,342116,35000,0,0.0,65542,0,0.0,0.0,0,0,312437,14917,703923,621940,140266,118018,2579456,0,30227,33734,73071,21189,43379,490887,490325,0,76351,48137,79625,152001,-49,1538877,0,6079,12392,30576,-1176,5558,378724,308926,0,29430,24208,31985,157127,375,984204,,,
28,RESOLUTION INSURANCE COMPANY,,,,,,,2013,2045814,0,1243229,802585,0,0,442844,0,359741,289061,-453607,482539,41748,34444,76192,,,,,,,,,,,,,,,,300000,0,-5104,0.0,45411,0,340307,591443,0.0,0,505967,1437718,0,0,6267,135313,0,0,0,0,0.0,0,0,0.0,0.0,143547,0,309347,520991,108699,31831,55800,125924,1437718,0,0,0,0,0,0,0,0,0,2218,0,-2370,357261,2633,359742,0,0,0,0,0,0,0,0,0,500,0,100,288166,296,289062,,,
29,TAKAFUL INSURANCE OF AFRICA LTD,,,,,,,2013,476710,0,40461,436249,206652,0,211265,0,431636,143623,30517,302334,-44839,18844,-25995,,,,,,,,,,,,,,,,533366,0,0,0.0,-106087,0,427279,332476,0.0,0,86572,846327,0,0,37918,81704,0,50000,0,0,0.0,0,0,0.0,0.0,0,0,323157,115304,148768,0,63444,26033,846327,0,311,2325,9005,13710,181,107260,240681,0,-1618,37753,19198,0,2830,431636,0,-80,4721,-71,12706,1499,41408,67157,0,-10,8290,7882,0,121,143623,,,
30,TAUSI ASSURANCE COMPANY LTD,,,,,,,2013,799763,3438,279844,523357,202528,26416,222131,28856,501314,223651,40245,134621,102796,170838,273634,,,,,,,,,,,,,,,,502244,0,116257,0.0,176183,2503,797187,688480,0.0,42628,172022,1700318,225000,0,18693,574718,43337,0,0,0,0.0,98343,6172,0.0,0.0,7789,114110,393142,52715,40523,39395,80941,5440,1700318,0,6471,19093,24950,4709,68935,109156,73282,0,7195,57042,113437,5759,11285,501314,0,5200,12255,10392,635,6177,43741,49567,0,351,34585,54590,6639,-480,223652,,,
31,THE KENYAN ALLIANCE INSURANCE COMPANY LTD,,,,,,,2013,1166971,32077,110608,1088440,405519,0,520465,0,973495,419877,87229,413733,52656,878678,931334,,,,,,,,,,,,,,,,300000,0,76194,0.0,955596,129,1331919,1346419,0.0,0,136991,2815330,95000,1254849,37947,140000,0,0,10000,0,0.0,23040,0,0.0,0.0,19520,0,632153,14836,444621,31164,49887,62313,2815330,0,2260,29563,13716,3782,19772,458897,304315,0,71453,29086,40007,0,641,973492,0,-1474,2421,8267,-943,7532,275861,133773,0,-777,9226,-14153,0,142,419875,,,
32,THE MONARCH INSURANCE COMPANY LTD,,,,,,,2013,459805,9670,72234,397241,143744,0,212555,0,328430,117981,18529,191838,82,0,82,,,,,,,,,,,,,,,,316476,0,0,0.0,10403,0,326879,339005,0.0,0,27198,693083,0,230650,30809,66182,0,0,0,0,0.0,12303,59,0.0,0.0,0,0,28112,5944,172236,4274,110864,31649,693083,0,2958,1272,3024,3927,3151,141288,76502,25438,12003,2530,20756,0,35581,328430,0,-35,-822,894,450,-293,75579,38290,0,113,-2350,5424,0,730,117980,,,
33,TRIDENT INSURANCE COMPANY LTD,,,,,,,2013,748833,9985,299472,459346,222170,0,236584,0,444932,311029,-4449,188528,-50177,207853,157677,,,,,,,,,,,,,,,,500000,0,209311,25000.0,1246161,0,1980472,1345002,0.0,-6188,207464,3526750,235847,1340811,12392,299536,17922,550000,15000,0,0.0,6815,7985,0.0,0.0,509503,16145,0,57615,392919,55231,0,9030,3526750,0,3048,7026,10717,4637,24714,73127,113412,0,7305,10403,76032,0,114510,444931,0,2998,2058,7554,2890,34834,52962,68338,0,1923,13953,121965,0,1556,311031,,,
34,UAP INSURANCE COMPANY,,,,,,,2013,7470328,215703,1544230,6141801,2032156,0,2429421,0,5744536,3478606,488107,1096178,681645,935858,1617503,,,,,,,,,,,,,,,,600000,0,3049765,0.0,3178379,420000,7248144,4126213,0.0,0,1194641,12568998,2700,2945000,100190,1260164,0,0,137164,0,0.0,3894316,53760,0.0,0.0,1321312,195169,130781,139576,1496521,420441,274740,197165,12568998,0,43223,87583,220187,70718,72766,987765,1056129,0,88100,147107,242854,2712594,15512,5744538,0,32196,8845,77062,5915,18001,691811,473823,0,12432,137929,62843,1950348,7402,3478607,,,
35,XPLICO INSURANCE COMPANY LTD,,,,,,,2013,1004726,0,71964,932762,149094,0,300538,0,781318,174030,83874,360723,162690,28731,191421,,,,,,,,,,,,,,,,682500,0,14620,0.0,71835,0,768955,457359,0.0,0,104106,1330419,72250,0,108468,63000,103000,300262,0,0,0.0,0,0,0.0,0.0,11267,0,169390,150217,217550,0,130109,4906,1330419,-1583,517,558,1259,1994,12435,462327,207493,0,2222,5203,32480,0,56413,781318,0,-95,-402,8,-119,25,88378,78980,0,2992,1172,3875,0,-785,174029,,,
36,AAR INSURANCE KENYA LTD,144,18179700000,889122475.0,10227,3.41E+11,3566458494.0,2014,3566321,137,965840,2600619,1279110,0,1563220,0,2316509,1659095,165287,502774,-10647,140881,130234,,,,,,,,,,,,,,,,400000,600523,0,0.0,-505792,0,494730,1856618,0.0,0,377578,2728926,0,0,28666,332491,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1256771,84551,891158,112413,0,22875,2728926,0,76,637,0,2479,-627,0,0,0,14983,981,9658,2290604,-2281,2316509,0,0,131,462,760,54,0,0,0,3677,72,552,1653313,75,1659095,,,
37,AFRICAN MERCHANT ASSURANCE COMPANY LTD,46339,76557702919,647079897.0,185534,3.11E+11,1845293994.0,2014,2554496,5087,538946,2020637,479683,0,564704,0,1935616,1047126,108669,799815,-19993,162647,142654,,,,,,,,,,,,,,,,550000,0,0,0.0,421637,9863,981500,1447987,0.0,10798,220865,2661151,49797,497500,98890,212000,0,0,27309,0,0.0,15076,0,0.0,0.0,14757,0,1011721,90638,524239,8428,106010,4786,2661151,0,-967,-159,71713,4729,1455,610007,562373,517961,58428,10281,47671,0,52125,1935616,0,-378,-3051,12405,2261,1661,365830,438109,219356,891,3915,13449,0,-7322,1047126,,,
38,AIG INSURANCE COMPANY LTD,106024,13371137046,2569750883.0,141954,16107615674,4027761026.0,2014,3905090,122569,1552705,2474954,716330,0,809509,0,2381775,1310136,91994,808878,170766,0,170766,,,,,,,,,,,,,,,,450000,0,-50861,0.0,1248865,200000,1848004,1569446,0.0,0,637678,4055129,0,600000,76657,2163262,0,0,0,0,0.0,10641,0,0.0,0.0,51396,0,347379,333668,364427,0,107699,0,4055129,-3,14567,63794,-154368,593110,357462,345539,531945,0,353339,196021,83100,0,-2732,2381775,120,29116,2786,24049,15761,2162,478424,532246,0,181623,14894,28956,0,-1,1310136,,,
